id,name,current_ticker,current_exchange,status,monitoring,archived,news_search_override,name_hint,exact_company_name,ticker,exchange,country,confidence,gemini_notes,google_finance_ticker,market_cap
seed-f1a9bf75117e0483-line-1030,Accelerant Holdings,,,pass,auto,false,,,,Accelerant Holdings,ARX,NYSE,US,high,,NYSE:ARX,$3.50B
seed-f1a9bf75117e0483-line-43,Accent group,,,inbox,auto,false,,Accent group (Australia screen),Accent Group Limited,AX1,ASX,AU,high,,ASX:AX1,$265.7M
seed-f1a9bf75117e0483-line-1533,Acrow,,,pass,auto,false,,Acrow (experimental screener),Acrow Limited,ACF,ASX,AU,high,,ASX:ACF,$239.5M
seed-f1a9bf75117e0483-line-966,Adobe,,,pass,auto,false,,Adobe (6/22/2026),Adobe Inc.,ADBE,NASDAQ,US,high,,NASDAQ:ADBE,$96.64B
seed-f1a9bf75117e0483-line-570,AECI (SA),,,watchlist,auto,false,,,,AECI Limited,AFE,JSE,ZA,high,,JSE:AFE,$604.0M
seed-f1a9bf75117e0483-line-662,Aena,,,watchlist,auto,false,,,,Aena S.M.E., S.A.,AENA,BME,ES,high,,BME:AENA,$42.28B
seed-f1a9bf75117e0483-line-710,Age HS / SA,,,watchlist,auto,false,,,,AgeSA Hayat ve Emeklilik A.S.,AGESA,BIST,TR,high,,IST:AGESA,$1.25B
seed-f1a9bf75117e0483-line-163,AIMIA,,,perpetual,paused,false,,,,Aimia Inc.,AIM,TSX,CA,high,,TSE:AIM,$176.3M
seed-f1a9bf75117e0483-line-390,Aisan Industry,,,watchlist,auto,false,,Aisan Industry (8/24/2026),Aisan Industry Co., Ltd.,7283,TYO,JP,high,,TYO:7283,$917.2M
seed-f1a9bf75117e0483-line-1472,Alarm.com,,,pass,auto,false,,[Alarm.com](,Alarm.com Holdings, Inc.,ALRM,NASDAQ,US,high,,NASDAQ:ALRM,$2.65B
seed-f1a9bf75117e0483-line-666,Amazon,,,watchlist,auto,false,,,,Amazon.com, Inc.,AMZN,NASDAQ,US,high,,NASDAQ:AMZN,$2.69T
d65fe4f4-f28f-4d14-8eaf-af412c1b00d3,American Coastal Insurance Company,ACIC,,owned,auto,false,,,,American Coastal Insurance Corporation,ACIC,NASDAQ,US,high,,NASDAQ:ACIC,$428.4M
seed-f1a9bf75117e0483-line-33,American Integrity,,,inbox,auto,false,,,,American Integrity Insurance Group, Inc.,AII,NYSE,US,high,,NYSE:AII,$514.3M
seed-f1a9bf75117e0483-line-1504,American Outdoor,,,pass,auto,false,,,,American Outdoor Brands, Inc.,AOUT,NASDAQ,US,high,,NASDAQ:AOUT,$212.4M
seed-f1a9bf75117e0483-line-358,Amerisafe,,,watchlist,auto,false,,,,AMERISAFE, Inc.,AMSF,NASDAQ,US,high,,NASDAQ:AMSF,$456.9M
seed-f1a9bf75117e0483-line-32,Applovin,,,pass,auto,false,,,,AppLovin Corporation,APP,NASDAQ,US,high,,NASDAQ:APP,$103.90B
seed-f1a9bf75117e0483-line-1475,Arctic Paper,,,pass,auto,false,,,,Arctic Paper S.A.,ATC,WSE,PL,high,,WSE:ATC,$109.9M
seed-f1a9bf75117e0483-line-136,Argent,,,perpetual,auto,false,,,,Argent Industrial Limited,ART,JSE,ZA,high,,JSE:ART,$118.3M
seed-f1a9bf75117e0483-line-546,Armanino,,,watchlist,auto,false,,,,Armanino Foods of Distinction, Inc.,AMNF,OTCMKTS,US,high,,OTCMKTS:AMNF,$368.3M
seed-f1a9bf75117e0483-line-697,ASBISC Enterprises Plc,,,watchlist,auto,false,,,,ASBISc Enterprises PLC,ASB,WSE,PL,high,,WSE:ASB,$2.52B
seed-f1a9bf75117e0483-line-346,Auroora Yhtiöt (ISIN: FI4000586409),,,watchlist,auto,false,,,,Auroora Yhtiot Oyj,AUROO,Nasdaq Helsinki,FI,high,,HEL:AUROO,$122.6M
seed-f1a9bf75117e0483-line-392,Auto Canada,,,watchlist,auto,false,,Auto Canada (8/24/2026),AutoCanada Inc.,ACQ,TSX,CA,high,,TSE:ACQ,$279.2M
seed-f1a9bf75117e0483-line-102,Auto Partner,,,perpetual,auto,false,,,,Auto Partner S.A.,APR,WSE,PL,high,,WSE:APR,$930.8M
seed-f1a9bf75117e0483-line-1663,AutohellasRF,,,pass,auto,false,,,,Autohellas Tourist and Trading S.A.,OTEP,ATHEX,GR,high,,ATHEX:OTEP,$580.0M
seed-f1a9bf75117e0483-line-679,B&M European Value,,,watchlist,auto,false,,,,B&M European Value Retail S.A.,BME,LSE,GB,high,,LON:BME,$4.21B
seed-f1a9bf75117e0483-line-1404,Baltic,,,pass,auto,false,,,,Baltic Classifieds Group PLC,BCG,LSE,GB,high,,LON:BCG,$1.98B
seed-f1a9bf75117e0483-line-654,Bank of Georgia,,,watchlist,auto,false,,,,Bank of Georgia Group PLC,BGEO,LSE,GB,high,,LON:BGEO,$3.00B
seed-f1a9bf75117e0483-line-824,BBW Build a Bear workshop,,,pass,auto,false,,BBW Build a Bear workshop (9/4/2026),Build-A-Bear Workshop, Inc.,BBW,NYSE,US,high,,NYSE:BBW,$482.0M
